annotation,sleep_count,duration,durationHr
sleep_quiet,0,30265.0,8.406944444444445
sleep_quiet,1,,
sleep_quiet,0,2502.0,0.695
sleep_quiet,1,,
sleep_quiet,0,35611.0,9.891944444444444
sleep_quiet,1,,
sleep_quiet,0,20086.0,5.579444444444444
sleep_quiet,1,,
sleep_quiet,0,11669.0,3.241388888888889
sleep_quiet,1,,
sleep_quiet,0,4428.0,1.23
sleep_quiet,1,,
sleep_quiet,0,23380.0,6.4944444444444445
sleep_quiet,1,,
sleep_quiet,0,3211.0,0.8919444444444444
sleep_quiet,1,,
sleep_quiet,0,9078.0,2.5216666666666665
sleep_quiet,1,,
sleep_quiet,0,29340.0,8.15
sleep_quiet,1,,
sleep_quiet,0,37436.0,10.398888888888889
sleep_quiet,1,,
sleep_quiet,0,2565.0,0.7125
sleep_quiet,1,,
sleep_quiet,0,36184.0,10.051111111111112
sleep_quiet,1,,
sleep_quiet,0,1888.0,0.5244444444444445
sleep_quiet,1,,
sleep_quiet,0,3967.0,1.1019444444444444
sleep_quiet,1,,
sleep_quiet,0,23584.0,6.551111111111111
sleep_quiet,1,,
sleep_quiet,0,5505.0,1.5291666666666666
sleep_quiet,1,,
sleep_quiet,0,15490.0,4.302777777777778
sleep_quiet,1,,
sleep_quiet,0,7785.0,2.1625
sleep_quiet,1,,
sleep_quiet,0,11689.0,3.2469444444444444
sleep_quiet,1,,
sleep_quiet,0,31274.0,8.687222222222223
sleep_quiet,1,,
sleep_quiet,0,2534.0,0.7038888888888889
sleep_quiet,1,,
sleep_quiet,0,34478.0,9.577222222222222
sleep_quiet,1,,
sleep_quiet,0,2563.0,0.7119444444444445
sleep_quiet,1,,
sleep_quiet,0,6039.0,1.6775
sleep_quiet,1,,
sleep_quiet,0,5202.0,1.445
sleep_quiet,1,,
sleep_quiet,0,22382.0,6.217222222222222
sleep_quiet,1,,
sleep_quiet,0,2081.0,0.5780555555555555
sleep_quiet,1,,
sleep_quiet,0,3680.0,1.0222222222222221
sleep_quiet,1,,
sleep_quiet,0,18023.0,5.006388888888889
sleep_quiet,1,,
sleep_quiet,0,7020.0,1.95
sleep_quiet,1,,
sleep_quiet,0,9072.0,2.52
sleep_quiet,1,,
sleep_quiet,0,21202.0,5.889444444444444
sleep_quiet,1,,
sleep_quiet,0,2369.0,0.6580555555555555
sleep_quiet,1,,
sleep_quiet,0,11360.0,3.1555555555555554
sleep_quiet,1,,
sleep_quiet,0,20967.0,5.824166666666667
sleep_quiet,1,,
sleep_quiet,0,6553.0,1.8202777777777779
sleep_quiet,1,,
sleep_quiet,0,4902.0,1.3616666666666666
sleep_quiet,1,,
sleep_quiet,0,20100.0,5.583333333333333
sleep_quiet,1,,
sleep_quiet,0,2294.0,0.6372222222222222
sleep_quiet,1,,
sleep_quiet,0,16504.0,4.584444444444444
sleep_quiet,1,,
sleep_quiet,0,13111.0,3.6419444444444444
sleep_quiet,1,,
sleep_quiet,0,2816.0,0.7822222222222223
sleep_quiet,1,,
sleep_quiet,0,3434.0,0.9538888888888889
sleep_quiet,1,,
sleep_quiet,0,4927.0,1.368611111111111
sleep_quiet,1,,
sleep_quiet,0,2061.0,0.5725
sleep_quiet,1,,
sleep_quiet,0,12754.0,3.542777777777778
sleep_quiet,1,,
sleep_quiet,0,11928.0,3.3133333333333335
sleep_quiet,1,,
sleep_quiet,0,14832.0,4.12
sleep_quiet,1,,
sleep_quiet,0,3841.0,1.0669444444444445
sleep_quiet,1,,
sleep_quiet,0,2599.0,0.7219444444444445
sleep_quiet,1,,
sleep_quiet,0,10437.0,2.8991666666666664
sleep_quiet,1,,
sleep_quiet,0,2522.0,0.7005555555555556
sleep_quiet,1,,
sleep_quiet,0,5356.0,1.4877777777777779
sleep_quiet,1,,
sleep_quiet,0,22662.0,6.295
sleep_quiet,1,,
sleep_quiet,0,3272.0,0.9088888888888889
sleep_quiet,1,,
sleep_quiet,0,5717.0,1.5880555555555556
sleep_quiet,1,,
sleep_quiet,0,22007.0,6.1130555555555555
sleep_quiet,1,,
sleep_quiet,0,2471.0,0.6863888888888889
sleep_quiet,1,,
sleep_quiet,0,29889.0,8.3025
sleep_quiet,1,,
sleep_quiet,0,2408.0,0.6688888888888889
sleep_quiet,1,,
sleep_quiet,0,8812.0,2.4477777777777776
sleep_quiet,1,,
sleep_quiet,0,18849.0,5.235833333333333
sleep_quiet,1,,
sleep_quiet,0,9503.0,2.6397222222222223
sleep_quiet,1,,
sleep_quiet,0,4373.0,1.2147222222222223
sleep_quiet,1,,
sleep_quiet,0,26615.0,7.393055555555556
sleep_quiet,1,,
sleep_quiet,0,30660.0,8.516666666666667
sleep_quiet,1,,
sleep_quiet,0,1872.0,0.52
sleep_quiet,1,,
sleep_quiet,0,2877.0,0.7991666666666667
sleep_quiet,1,,
sleep_quiet,0,2626.0,0.7294444444444445
sleep_quiet,1,,
sleep_quiet,0,20792.0,5.775555555555556
sleep_quiet,1,,
sleep_quiet,0,5781.0,1.6058333333333332
sleep_quiet,1,,
sleep_quiet,0,7596.0,2.11
sleep_quiet,1,,
sleep_quiet,0,24431.0,6.786388888888889
sleep_quiet,1,,
sleep_quiet,0,27283.0,7.578611111111111
sleep_quiet,1,,
sleep_quiet,0,7813.0,2.1702777777777778
sleep_quiet,1,,
sleep_quiet,0,13980.0,3.8833333333333333
sleep_quiet,1,,
sleep_quiet,0,26839.0,7.455277777777778
sleep_quiet,1,,
sleep_quiet,0,20118.0,5.588333333333333
sleep_quiet,1,,
sleep_quiet,0,13899.0,3.8608333333333333
sleep_quiet,1,,
sleep_quiet,0,10805.0,3.001388888888889
sleep_quiet,1,,
sleep_quiet,0,19654.0,5.459444444444444
sleep_quiet,1,,
sleep_quiet,0,35261.0,9.794722222222223
sleep_quiet,1,,
sleep_quiet,0,2354.0,0.6538888888888889
sleep_quiet,1,,
sleep_quiet,0,7332.0,2.0366666666666666
sleep_quiet,1,,
sleep_quiet,0,24964.0,6.934444444444445
sleep_quiet,1,,
sleep_quiet,0,24364.0,6.767777777777778
sleep_quiet,1,,
sleep_quiet,0,5499.0,1.5275
sleep_quiet,1,,
sleep_quiet,0,3734.0,1.0372222222222223
sleep_quiet,1,,
sleep_quiet,0,27241.0,7.566944444444444
sleep_quiet,1,,
sleep_quiet,0,3861.0,1.0725
sleep_quiet,1,,
sleep_quiet,0,21724.0,6.0344444444444445
sleep_quiet,1,,
sleep_quiet,0,9697.0,2.693611111111111
sleep_quiet,1,,
sleep_quiet,0,28821.0,8.005833333333333
sleep_quiet,1,,
sleep_quiet,0,6688.0,1.8577777777777778
sleep_quiet,1,,
sleep_quiet,0,1904.0,0.5288888888888889
sleep_quiet,1,,
sleep_quiet,0,29144.0,8.095555555555556
sleep_quiet,1,,
sleep_quiet,0,3540.0,0.9833333333333333
sleep_quiet,1,,
sleep_quiet,0,4431.0,1.2308333333333332
sleep_quiet,1,,
sleep_quiet,0,5590.0,1.5527777777777778
sleep_quiet,1,,
sleep_quiet,0,22768.0,6.3244444444444445
sleep_quiet,1,,
sleep_quiet,0,26450.0,7.347222222222222
sleep_quiet,1,,
sleep_quiet,0,4114.0,1.1427777777777777
sleep_quiet,1,,
sleep_quiet,0,19622.0,5.450555555555556
sleep_quiet,1,,
sleep_quiet,0,10462.0,2.906111111111111
sleep_quiet,1,,
sleep_quiet,0,5275.0,1.4652777777777777
sleep_quiet,1,,
sleep_quiet,0,25112.0,6.975555555555555
sleep_quiet,1,,
sleep_quiet,0,3151.0,0.8752777777777778
sleep_quiet,1,,
sleep_quiet,0,1947.0,0.5408333333333334
sleep_quiet,1,,
sleep_quiet,0,4944.0,1.3733333333333333
sleep_quiet,1,,
sleep_quiet,0,30603.0,8.500833333333333
sleep_quiet,1,,
sleep_quiet,0,38978.0,10.827222222222222
sleep_quiet,1,,
sleep_quiet,0,36787.0,10.21861111111111
sleep_quiet,1,,
sleep_quiet,0,39099.0,10.860833333333334
sleep_quiet,1,,
sleep_quiet,0,34576.0,9.604444444444445
sleep_quiet,1,,
sleep_quiet,0,18683.0,5.189722222222223
sleep_quiet,1,,
sleep_quiet,0,15294.0,4.248333333333333
sleep_quiet,1,,
sleep_quiet,0,4300.0,1.1944444444444444
sleep_quiet,1,,
sleep_quiet,0,14519.0,4.033055555555555
sleep_quiet,1,,
sleep_quiet,0,17422.0,4.839444444444444
sleep_quiet,1,,
sleep_quiet,0,31445.0,8.734722222222222
sleep_quiet,1,,
sleep_quiet,0,3974.0,1.103888888888889
sleep_quiet,1,,
sleep_quiet,0,35439.0,9.844166666666666
sleep_quiet,1,,
sleep_quiet,0,6615.0,1.8375
sleep_quiet,1,,
sleep_quiet,0,16626.0,4.618333333333333
sleep_quiet,1,,
sleep_quiet,0,4175.0,1.1597222222222223
sleep_quiet,1,,
sleep_quiet,0,4491.0,1.2475
sleep_quiet,1,,
sleep_quiet,0,25838.0,7.177222222222222
sleep_quiet,1,,
